War Machine v0 Backtest — 60 gün
Tarih: 2026-04-08 19:22
Coinler: BTCUSDT, ETHUSDT, BNBUSDT, SOLUSDT, XRPUSDT, ADAUSDT, AVAXUSDT, DOGEUSDT, LTCUSDT, DOTUSDT

Trades: 198
Win Rate: 37.9%
PnL: $-480.42
Profit Factor: 0.73

Trade Detayları:
----------------------------------------------------------------------------------------------------
02/14 08:00 | SOLUSDT      | $   87.2900 → $   88.0600 | PnL=$   +6.82 | TIME-EXIT    | 3c
02/14 12:00 | BTCUSDT      | $69778.2800 → $69954.5000 | PnL=$   +0.53 | TIME-EXIT    | 3c
02/15 00:00 | ETHUSDT      | $ 2058.9400 → $ 2021.9293 | PnL=$  -19.98 | STOP-LOSS    | 3c
02/15 04:00 | BTCUSDT      | $70828.4200 → $69853.1393 | PnL=$  -15.77 | STOP-LOSS    | 2c
02/15 08:00 | SOLUSDT      | $   89.1700 → $   87.2500 | PnL=$  -23.53 | STOP-LOSS    | 1c
02/15 12:00 | ADAUSDT      | $    0.2842 → $    0.2802 | PnL=$  -16.07 | TIME-EXIT    | 3c
02/15 12:00 | AVAXUSDT     | $    9.3800 → $    9.1957 | PnL=$  -21.65 | STOP-LOSS    | 1c
02/15 12:00 | LTCUSDT      | $   55.0700 → $   54.4800 | PnL=$  -12.71 | TIME-EXIT    | 3c
02/15 12:00 | DOTUSDT      | $    1.3670 → $    1.3341 | PnL=$  -26.04 | STOP-LOSS    | 1c
02/15 16:00 | SOLUSDT      | $   85.3400 → $   85.0600 | PnL=$   -5.28 | TIME-EXIT    | 3c
02/16 08:00 | XRPUSDT      | $    1.4838 → $    1.4876 | PnL=$   +0.56 | TIME-EXIT    | 3c
02/16 12:00 | ADAUSDT      | $    0.2790 → $    0.2865 | PnL=$  +24.88 | TIME-EXIT    | 3c
02/16 12:00 | AVAXUSDT     | $    9.0900 → $    9.2200 | PnL=$  +12.30 | TIME-EXIT    | 3c
02/16 12:00 | DOTUSDT      | $    1.3400 → $    1.3750 | PnL=$  +24.12 | TIME-EXIT    | 3c
02/17 12:00 | DOTUSDT      | $    1.3590 → $    1.3570 | PnL=$   -3.47 | TIME-EXIT    | 3c
